reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Tendinous Contracture,Tendinous Contracture,other,Other / manual review,fallback
Vulval Haematoma,Vulval Haematoma,reproductive,Reproductive and breast,rule
Reduced Bladder Capacity,Reduced Bladder Capacity,renal_urinary,Renal and urinary,rule
Lymphocytic Oesophagitis,Lymphocytic Oesophagitis,gastrointestinal,Gastrointestinal,rule
Aspiration Bursa,Aspiration Bursa,other,Other / manual review,fallback
Brachiocephalic Vein Occlusion,Brachiocephalic Vein Occlusion,other,Other / manual review,fallback
Cyclic Neutropenia,Cyclic Neutropenia,haematology,Blood and lymphatic,rule
Complement Factor C4 Increased,Complement Factor C4 Increased,laboratory,Laboratory and investigation,rule
Hodgkin^S Disease Stage Iii,Hodgkin^S Disease Stage Iii,other,Other / manual review,fallback
Parechovirus Infection,Parechovirus Infection,infection,Infections,rule
Delayed Visual Maturation,Delayed Visual Maturation,ocular,Eye and vision,rule
Cerebral Salt-Wasting Syndrome,Cerebral Salt-Wasting Syndrome,neurological,Nervous system and neurological,rule
Puncture Site Infection,Puncture Site Infection,device,Device and procedure-related,rule
Base Excess Increased,Base Excess Increased,laboratory,Laboratory and investigation,rule
Stenotrophomonas Test Positive,Stenotrophomonas Test Positive,laboratory,Laboratory and investigation,rule
Plasma Cell Leukaemia In Remission,Plasma Cell Leukaemia In Remission,neoplasm,Neoplasms,rule
Weight Control,Weight Control,general,General symptoms,rule
Vessel Perforation,Vessel Perforation,other,Other / manual review,fallback
Antineutrophil Cytoplasmic Antibody Decreased,Antineutrophil Cytoplasmic Antibody Decreased,laboratory,Laboratory and investigation,rule
Hippocampal Atrophy,Hippocampal Atrophy,other,Other / manual review,fallback
"Ear, Nose And Throat Examination Abnormal","Ear, Nose And Throat Examination Abnormal",laboratory,Laboratory and investigation,rule
Leukaemic Infiltration Pulmonary,Leukaemic Infiltration Pulmonary,respiratory,Respiratory,rule
Retro-Orbital Neoplasm,Retro-Orbital Neoplasm,neoplasm,Neoplasms,rule
Carcinoid Heart Disease,Carcinoid Heart Disease,cardiovascular,Cardiovascular,rule
Iodine Deficiency,Iodine Deficiency,other,Other / manual review,fallback
Arachnoid Web,Arachnoid Web,other,Other / manual review,fallback
Radial Nerve Compression,Radial Nerve Compression,neurological,Nervous system and neurological,rule
Vocal Cord Leukoplakia,Vocal Cord Leukoplakia,other,Other / manual review,fallback
Medical Device Site Calcification,Medical Device Site Calcification,device,Device and procedure-related,rule
Meconium Plug Syndrome,Meconium Plug Syndrome,other,Other / manual review,fallback
Oesophageal Adenocarcinoma Recurrent,Oesophageal Adenocarcinoma Recurrent,neoplasm,Neoplasms,rule
Renal Disorder Prophylaxis,Renal Disorder Prophylaxis,renal_urinary,Renal and urinary,rule
Peripheral Nerve Transposition,Peripheral Nerve Transposition,neurological,Nervous system and neurological,rule
Smooth Muscle Antibody,Smooth Muscle Antibody,laboratory,Laboratory and investigation,rule
Inhibiting Antibodies,Inhibiting Antibodies,other,Other / manual review,fallback
Blood Selenium Decreased,Blood Selenium Decreased,laboratory,Laboratory and investigation,rule
Autoimmune Eye Disorder,Autoimmune Eye Disorder,ocular,Eye and vision,rule
Vascular Catheterisation,Vascular Catheterisation,device,Device and procedure-related,rule
Coagulation Factor V Level Abnormal,Coagulation Factor V Level Abnormal,laboratory,Laboratory and investigation,rule
Venous Aneurysm,Venous Aneurysm,cardiovascular,Cardiovascular,rule
Metastases To Trachea,Metastases To Trachea,neoplasm,Neoplasms,rule
Macular Pigmentation,Macular Pigmentation,ocular,Eye and vision,rule
Synovial Fluid Crystal Present,Synovial Fluid Crystal Present,other,Other / manual review,fallback
Penile Vein Thrombosis,Penile Vein Thrombosis,cardiovascular,Cardiovascular,rule
Breast Disorder Male,Breast Disorder Male,reproductive,Reproductive and breast,rule
Tidal Volume Abnormal,Tidal Volume Abnormal,laboratory,Laboratory and investigation,rule
Mean Cell Volume,Mean Cell Volume,other,Other / manual review,fallback
Choroidal Coloboma,Choroidal Coloboma,other,Other / manual review,fallback
Eyelid Boil,Eyelid Boil,ocular,Eye and vision,rule
Malignant Glaucoma,Malignant Glaucoma,ocular,Eye and vision,rule
Congenital Coagulopathy,Congenital Coagulopathy,other,Other / manual review,fallback
Secondary Aldosteronism,Secondary Aldosteronism,other,Other / manual review,fallback
Automatism Epileptic,Automatism Epileptic,other,Other / manual review,fallback
Scleral Haemorrhage,Scleral Haemorrhage,haematology,Blood and lymphatic,rule
Non-Scarring Alopecia,Non-Scarring Alopecia,dermatological,Skin and subcutaneous tissue,rule
Cornelia De Lange Syndrome,Cornelia De Lange Syndrome,other,Other / manual review,fallback
H3n2 Influenza,H3n2 Influenza,other,Other / manual review,fallback
Anaesthetic Complication Cardiac,Anaesthetic Complication Cardiac,cardiovascular,Cardiovascular,rule
Thymus Hypoplasia,Thymus Hypoplasia,other,Other / manual review,fallback
Vascular Access Placement,Vascular Access Placement,device,Device and procedure-related,rule
Gastric Residual Assessment,Gastric Residual Assessment,gastrointestinal,Gastrointestinal,rule
Spinal Segmental Dysfunction,Spinal Segmental Dysfunction,musculoskeletal,Musculoskeletal,rule
Amniotic Fluid Index Decreased,Amniotic Fluid Index Decreased,laboratory,Laboratory and investigation,rule
Cardiac Pacemaker Removal,Cardiac Pacemaker Removal,cardiovascular,Cardiovascular,rule
Gastrointestinal Stoma Output Decreased,Gastrointestinal Stoma Output Decreased,laboratory,Laboratory and investigation,rule
Application Site Cellulitis,Application Site Cellulitis,device,Device and procedure-related,rule
Cd4/Cd8 Ratio Decreased,Cd4/Cd8 Ratio Decreased,laboratory,Laboratory and investigation,rule
Diabetic Cheiroarthropathy,Diabetic Cheiroarthropathy,other,Other / manual review,fallback
Ultrasound Scan,Ultrasound Scan,laboratory,Laboratory and investigation,rule
Vestibular Ataxia,Vestibular Ataxia,neurological,Nervous system and neurological,rule
Sexual Inhibition,Sexual Inhibition,other,Other / manual review,fallback
Product Origin Unknown,Product Origin Unknown,product_quality,Product quality and supply,rule
Jealous Delusion,Jealous Delusion,psychiatric,Psychiatric and behavioural,rule
Tidal Volume Decreased,Tidal Volume Decreased,laboratory,Laboratory and investigation,rule
Providencia Infection,Providencia Infection,infection,Infections,rule
Lupus Hepatitis,Lupus Hepatitis,infection,Infections,rule
Pancreatic Haemorrhage,Pancreatic Haemorrhage,gastrointestinal,Gastrointestinal,rule
Herpes Simplex Colitis,Herpes Simplex Colitis,infection,Infections,rule
Fixed Bowel Loop,Fixed Bowel Loop,gastrointestinal,Gastrointestinal,rule
Stiff Person Syndrome,Stiff Person Syndrome,other,Other / manual review,fallback
Amplified Musculoskeletal Pain Syndrome,Amplified Musculoskeletal Pain Syndrome,general,General symptoms,rule
Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency,Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency,other,Other / manual review,fallback
Parvovirus B19 Test Positive,Parvovirus B19 Test Positive,infection,Infections,rule
Endocarditis Fibroplastica,Endocarditis Fibroplastica,other,Other / manual review,fallback
Scapholunate Dissociation,Scapholunate Dissociation,other,Other / manual review,fallback
Lacrimal Haemorrhage,Lacrimal Haemorrhage,haematology,Blood and lymphatic,rule
Wolff-Parkinson-White Syndrome Congenital,Wolff-Parkinson-White Syndrome Congenital,other,Other / manual review,fallback
Pneumococcal Bacteraemia,Pneumococcal Bacteraemia,infection,Infections,rule
Oesophageal Mucosal Dissection,Oesophageal Mucosal Dissection,gastrointestinal,Gastrointestinal,rule
Prosthetic Cardiac Valve Thrombosis,Prosthetic Cardiac Valve Thrombosis,cardiovascular,Cardiovascular,rule
Anaplastic Large Cell Lymphoma T- And Null-Cell Types Stage Iv,Anaplastic Large Cell Lymphoma T- And Null-Cell Types Stage Iv,neoplasm,Neoplasms,rule
Eastern Cooperative Oncology Group Performance Status,Eastern Cooperative Oncology Group Performance Status,other,Other / manual review,fallback
Vaccination Site Haematoma,Vaccination Site Haematoma,other,Other / manual review,fallback
Product Packaging Counterfeit,Product Packaging Counterfeit,product_quality,Product quality and supply,rule
Therapeutic Aspiration,Therapeutic Aspiration,other,Other / manual review,fallback
Abdominal Hernia Repair,Abdominal Hernia Repair,gastrointestinal,Gastrointestinal,rule
Csf White Blood Cell Count Increased,Csf White Blood Cell Count Increased,laboratory,Laboratory and investigation,rule
Mesenteric Haematoma,Mesenteric Haematoma,other,Other / manual review,fallback
Biopsy Oesophagus,Biopsy Oesophagus,laboratory,Laboratory and investigation,rule
Partial Splenic Embolisation,Partial Splenic Embolisation,cardiovascular,Cardiovascular,rule
Ebstein^S Anomaly,Ebstein^S Anomaly,other,Other / manual review,fallback
Malignant Neoplasm Of Thorax,Malignant Neoplasm Of Thorax,neoplasm,Neoplasms,rule
Fibrin D Dimer Decreased,Fibrin D Dimer Decreased,laboratory,Laboratory and investigation,rule
Vesicocutaneous Fistula,Vesicocutaneous Fistula,other,Other / manual review,fallback
Application Site Eczema,Application Site Eczema,device,Device and procedure-related,rule
Interleukin Level Decreased,Interleukin Level Decreased,laboratory,Laboratory and investigation,rule
Cryptococcal Cutaneous Infection,Cryptococcal Cutaneous Infection,infection,Infections,rule
Lymphoblast Count Increased,Lymphoblast Count Increased,laboratory,Laboratory and investigation,rule
Macrophages Decreased,Macrophages Decreased,laboratory,Laboratory and investigation,rule
Haptoglobin Increased,Haptoglobin Increased,laboratory,Laboratory and investigation,rule
Supportive Care,Supportive Care,other,Other / manual review,fallback
Urostomy Complication,Urostomy Complication,other,Other / manual review,fallback
Erythema Migrans,Erythema Migrans,dermatological,Skin and subcutaneous tissue,rule
Granulocyte Percentage,Granulocyte Percentage,other,Other / manual review,fallback
Meconium Abnormal,Meconium Abnormal,laboratory,Laboratory and investigation,rule
Labile Hypertension,Labile Hypertension,cardiovascular,Cardiovascular,rule
Finger Repair Operation,Finger Repair Operation,procedure,Procedures and interventions,rule
Vaccination Site Swelling,Vaccination Site Swelling,general,General symptoms,rule
Gastric Dysplasia,Gastric Dysplasia,gastrointestinal,Gastrointestinal,rule
Skin Graft Failure,Skin Graft Failure,dermatological,Skin and subcutaneous tissue,rule
Injection Site Thrombosis,Injection Site Thrombosis,device,Device and procedure-related,rule
Writer^S Cramp,Writer^S Cramp,other,Other / manual review,fallback
External Hydrocephalus,External Hydrocephalus,other,Other / manual review,fallback
Cataract Traumatic,Cataract Traumatic,injury,Injury and poisoning,rule
Papilloma Excision,Papilloma Excision,procedure,Procedures and interventions,rule
Brown-Sequard Syndrome,Brown-Sequard Syndrome,other,Other / manual review,fallback
Right Atrial Hypertrophy,Right Atrial Hypertrophy,cardiovascular,Cardiovascular,rule
Progressive Relapsing Multiple Sclerosis,Progressive Relapsing Multiple Sclerosis,other,Other / manual review,fallback
Jugular Vein Occlusion,Jugular Vein Occlusion,other,Other / manual review,fallback
Corneal Operation,Corneal Operation,ocular,Eye and vision,rule
Pityriasis Rubra Pilaris,Pityriasis Rubra Pilaris,other,Other / manual review,fallback
Non-Proliferative Retinopathy,Non-Proliferative Retinopathy,other,Other / manual review,fallback
T-Cell Prolymphocytic Leukaemia,T-Cell Prolymphocytic Leukaemia,neoplasm,Neoplasms,rule
Coma Scale,Coma Scale,other,Other / manual review,fallback
Renal Lymphocele,Renal Lymphocele,renal_urinary,Renal and urinary,rule
Pseudohermaphroditism Male,Pseudohermaphroditism Male,other,Other / manual review,fallback
Parotid Abscess,Parotid Abscess,other,Other / manual review,fallback
Congenital Myopia,Congenital Myopia,other,Other / manual review,fallback
Anaemia Of Malignant Disease,Anaemia Of Malignant Disease,haematology,Blood and lymphatic,rule
Herpes Simplex Gastritis,Herpes Simplex Gastritis,other,Other / manual review,fallback
Application Site Hyperaesthesia,Application Site Hyperaesthesia,device,Device and procedure-related,rule
Terminal Agitation,Terminal Agitation,psychiatric,Psychiatric and behavioural,rule
Adenosquamous Cell Lung Cancer,Adenosquamous Cell Lung Cancer,neoplasm,Neoplasms,rule
Cervix Carcinoma Stage Iii,Cervix Carcinoma Stage Iii,neoplasm,Neoplasms,rule
Venous Intravasation,Venous Intravasation,cardiovascular,Cardiovascular,rule
Basophil Percentage Increased,Basophil Percentage Increased,laboratory,Laboratory and investigation,rule
Pityriasis Lichenoides Et Varioliformis Acuta,Pityriasis Lichenoides Et Varioliformis Acuta,other,Other / manual review,fallback
Premature Baby Death,Premature Baby Death,other,Other / manual review,fallback
Central Auditory Processing Disorder,Central Auditory Processing Disorder,other,Other / manual review,fallback
Vaginal Polyp,Vaginal Polyp,neoplasm,Neoplasms,rule
Hookworm Infection,Hookworm Infection,infection,Infections,rule
Streptobacillus Infection,Streptobacillus Infection,infection,Infections,rule
Cullen^S Sign,Cullen^S Sign,other,Other / manual review,fallback
Bartonella Test Positive,Bartonella Test Positive,laboratory,Laboratory and investigation,rule
Claudication Of Jaw Muscles,Claudication Of Jaw Muscles,musculoskeletal,Musculoskeletal,rule
Phaeochromocytoma Malignant,Phaeochromocytoma Malignant,other,Other / manual review,fallback
Rubella Antibody Positive,Rubella Antibody Positive,laboratory,Laboratory and investigation,rule
Alcoholic Pancreatitis,Alcoholic Pancreatitis,gastrointestinal,Gastrointestinal,rule
Urine Potassium Increased,Urine Potassium Increased,laboratory,Laboratory and investigation,rule
Paraneoplastic Myelopathy,Paraneoplastic Myelopathy,other,Other / manual review,fallback
Antimicrobial Susceptibility Test,Antimicrobial Susceptibility Test,laboratory,Laboratory and investigation,rule
Hepatitis Syphilitic,Hepatitis Syphilitic,infection,Infections,rule
Choroidal Dystrophy,Choroidal Dystrophy,other,Other / manual review,fallback
Convulsion In Childhood,Convulsion In Childhood,neurological,Nervous system and neurological,rule
Renal And Pancreas Transplant Rejection,Renal And Pancreas Transplant Rejection,gastrointestinal,Gastrointestinal,rule
Campylobacter Sepsis,Campylobacter Sepsis,infection,Infections,rule
Fat Embolism Syndrome,Fat Embolism Syndrome,cardiovascular,Cardiovascular,rule
Genital Labial Adhesions,Genital Labial Adhesions,other,Other / manual review,fallback
Medulloblastoma Recurrent,Medulloblastoma Recurrent,neoplasm,Neoplasms,rule
Tracheal Inflammation,Tracheal Inflammation,respiratory,Respiratory,rule
Ph Semen Increased,Ph Semen Increased,laboratory,Laboratory and investigation,rule
Congenital Hepatobiliary Anomaly,Congenital Hepatobiliary Anomaly,gastrointestinal,Gastrointestinal,rule
Urethral Dilatation,Urethral Dilatation,renal_urinary,Renal and urinary,rule
Digeorge^S Syndrome,Digeorge^S Syndrome,other,Other / manual review,fallback
External Ear Pain,External Ear Pain,general,General symptoms,rule
Peripheral Artery Angioplasty,Peripheral Artery Angioplasty,other,Other / manual review,fallback
Thyroid Adenoma,Thyroid Adenoma,neoplasm,Neoplasms,rule
Periorbital Inflammation,Periorbital Inflammation,other,Other / manual review,fallback
Hypoglycaemia Unawareness,Hypoglycaemia Unawareness,endocrine,Endocrine and metabolic,rule
Renin Decreased,Renin Decreased,laboratory,Laboratory and investigation,rule
Hepatitis E Virus Test Positive,Hepatitis E Virus Test Positive,infection,Infections,rule
C3 Glomerulopathy,C3 Glomerulopathy,other,Other / manual review,fallback
Post Stroke Epilepsy,Post Stroke Epilepsy,neurological,Nervous system and neurological,rule
Gastric Hypomotility,Gastric Hypomotility,gastrointestinal,Gastrointestinal,rule
Abnormal Clotting Factor,Abnormal Clotting Factor,laboratory,Laboratory and investigation,rule
Loop Electrosurgical Excision Procedure,Loop Electrosurgical Excision Procedure,procedure,Procedures and interventions,rule
Ectopic Acth Syndrome,Ectopic Acth Syndrome,other,Other / manual review,fallback
Sinusitis Aspergillus,Sinusitis Aspergillus,infection,Infections,rule
Thecal Sac Compression,Thecal Sac Compression,other,Other / manual review,fallback
Endometrial Cancer Stage Ii,Endometrial Cancer Stage Ii,neoplasm,Neoplasms,rule
Lens Extraction,Lens Extraction,other,Other / manual review,fallback
Vascular Resistance Systemic,Vascular Resistance Systemic,cardiovascular,Cardiovascular,rule
Product Gel Formation,Product Gel Formation,other,Other / manual review,fallback
Hyperosmolar State,Hyperosmolar State,other,Other / manual review,fallback
Thermal Burns Of Eye,Thermal Burns Of Eye,ocular,Eye and vision,rule
Dna Antibody Negative,Dna Antibody Negative,laboratory,Laboratory and investigation,rule
Chronic Eosinophilic Leukaemia,Chronic Eosinophilic Leukaemia,neoplasm,Neoplasms,rule
Primary Mediastinal Large B-Cell Lymphoma Refractory,Primary Mediastinal Large B-Cell Lymphoma Refractory,neoplasm,Neoplasms,rule
Chronic Rhinosinusitis With Nasal Polyps,Chronic Rhinosinusitis With Nasal Polyps,neoplasm,Neoplasms,rule
Gestational Trophoblastic Tumour,Gestational Trophoblastic Tumour,pregnancy,Pregnancy and perinatal,rule
Intraductal Papillary-Mucinous Carcinoma Of Pancreas,Intraductal Papillary-Mucinous Carcinoma Of Pancreas,neoplasm,Neoplasms,rule
Hypertension Neonatal,Hypertension Neonatal,pregnancy,Pregnancy and perinatal,rule
Necrotising Fasciitis Staphylococcal,Necrotising Fasciitis Staphylococcal,other,Other / manual review,fallback
Intervertebral Disc Calcification,Intervertebral Disc Calcification,musculoskeletal,Musculoskeletal,rule
Haemorrhagic Vasculitis,Haemorrhagic Vasculitis,immune_inflammatory,Immune and inflammatory,rule
Atypical Mycobacterium Test Positive,Atypical Mycobacterium Test Positive,infection,Infections,rule
Blood Cyanide Increased,Blood Cyanide Increased,laboratory,Laboratory and investigation,rule
Post Micturition Dribble,Post Micturition Dribble,other,Other / manual review,fallback
Bezold-Jarisch Reflex,Bezold-Jarisch Reflex,other,Other / manual review,fallback
Gastroenteritis Astroviral,Gastroenteritis Astroviral,infection,Infections,rule
Peritoneal Carcinoma Metastatic,Peritoneal Carcinoma Metastatic,neoplasm,Neoplasms,rule
Drug Withdrawal Headache,Drug Withdrawal Headache,medication_error,Medication errors and use issues,rule
Haemorrhage Subepidermal,Haemorrhage Subepidermal,haematology,Blood and lymphatic,rule
Radiolucency Around Implant,Radiolucency Around Implant,other,Other / manual review,fallback
Mononuclear Cell Count Increased,Mononuclear Cell Count Increased,laboratory,Laboratory and investigation,rule
Bacillary Angiomatosis,Bacillary Angiomatosis,other,Other / manual review,fallback
Catecholamine Crisis,Catecholamine Crisis,other,Other / manual review,fallback
Thrombin Time Abnormal,Thrombin Time Abnormal,laboratory,Laboratory and investigation,rule
